userid,textid
969716695903494144,50094
1380060289,50095
4503483681,50096
4359734296,50097
19664367,50098
190047760,50099
1410502378416115717,50100
298115169,50101
381704954,50102
413784433,43530
302810341,50103
1238614982528557057,50104
894545996176293889,50105
4188145335,43530
1487404228209520642,50106
1345496818742939650,42611
61176684,49731
1310832876145893376,50107
200559274,50108
3365636475,50109
1171742672614113282,50110
306074392,50111
1032735529140461570,50112
2710801043,50113
1257625679866314756,50114
1300924825905451008,50115
1897148478,50116
942153246,50117
44730770,47357
2182787228,50118
1465600376464367617,50119
2516036214,50120
197093214,46219
22688529,44067
966908276272017408,38517
747550175925800960,50121
1351642442576093188,50122
1209797287381274626,50123
261886304,50124
1465204099004182528,43834
774292839463325696,50125
1320054534,50126
39255942,45235
309558781,50127
123227057,50128
16315143,50129
1198182791957102592,49804
487649716,50130
1255615760,50131
1011110436962480128,50132
1042354645111320577,50133
769255910262833152,50134
40046136,50135
267522375,50136
1499362617416163331,50137
1471198429007298564,34344
1484242494648987651,50138
1032834847,50139
1500209754601369607,50140
1420466816455958532,50141
1464706995416711171,49907
15352071,50142
1255888233361223681,50143
1472175237630504967,50144
344320832,50145
893940623304216576,50146
2302345932,50147
1480177791991615490,44199
1004894980962336768,50148
891218862754156544,50149
1039299846,50150
15368854,50151
36783277,44022
347228796,50152
3327907036,44150
1436220264354779142,50153
972238097231556614,50154
208777738,50155
3420511259,50156
987795508449103872,50157
200429593,50158
1326888189223706625,50159
1492695736517107714,50160
58186298,50161
2932990316,50162
1480925955313049604,45851
1498750171374661634,50163
1527609722,50164
14281628,50165
1369000076086022147,50166
374433421,43820
2388515597,50167
923239163184345090,50168
1214942385001713666,50169
1481352759941156864,50170
1483850415485890560,50171
2212179205,44641
1637471257,44439
886724629389336577,44144
1696433894,33260
521160193,50172
1046980466,50173
1391996224711106563,50174
704789727388553217,50175
1360287060217782272,50176
3718128797,50177
1350410093276364800,50178
1249204278620598272,50179
344211839,26194
32703165,50180
88394635,50181
705100457539084288,50182
884606125,50183
3065680671,50184
1359627878158266370,50185
36381462,50186
387361991,50187
1473321288609509379,50188
315113333,50189
867323310719324161,49770
297261364,50190
1231207455545315329,50191
386489054,50192
413113482,50193
611789295,49712
4764560996,48118
65671909,50194
1383684791791349760,50195
1271876070975983616,43729
1116348741445775360,50196
1194597142272368640,50197
1693965810,50198
942126002745966592,50199
1095312788530974721,50149
1482171041422012419,50200
28972148,50201
1037720451739512833,50202
93835628,48432
1081283841069850625,50203
2802455737,50204
355729595,50205
38378895,43834
735019028100452353,50206
1322879108636790784,50207
1499459086525640712,50208
1276191595122081798,50209
317489984,49712
1451674853912764417,50210
2271151776,50211
214981303,46835
1497956934242160644,38454
1496723659586564096,50212
1064936704350584832,50213
1342741570056052741,50214
745666139435442176,49811
1341526292454404097,50215
29973860,50216
18284686,50217
1228674732029104129,50218
1038034098,50219
1397786399299063810,50220
1494040376121954316,50221
895293876759441409,50222
182927673,50223
171266293,50224
1123562346608128000,50225
1284385014,50226
1198941983462612993,50227
808297868410912768,50228
1480118560122937346,50229
137708575,46369
784840690136035328,49686
1376198804748214272,50230
1499007688310669312,50231
205699057,50232
